,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title
0,$59,1,Houston,Jan-17,'River house on island close to the city' \nA well maintained river house off the San Jacinto river with extra room for temporary visitors.,29.82935223,-95.08154949,River house near the city
1,$1500,4,Houston,Jan-17,4 bedroom 2 bathroom home with an open floor plan great for entertaining located in a quiet neighborhood and conveniently located to 59 and beltway 8.,29.95468009,-95.17607029,Super Bowl 2017 4 BDRM Home Retreat
2,$650,1,Houston,Jul-16,"Upstairs &amp; down stairs 2 beds included, great for Super Bowl stay. Gated community serious inquiries only.",29.79337987,-95.19640052,Luxurious TH 10 min from Downtown
3,$75,1,Houston,Jan-17,This is a great space for couch surfing with lots of available space in the living room for up to 6 people. It is only 15 minute drive to the super bowl. A 15 min drive to downtown bars. A 10 min walk to the green line metro rail that goes downtown.,29.729391,-95.31251441,Living Room for Super Bowl
4,$88,1,Houston,Aug-16,Come relax on the water in our beautiful beach house style river home. You'll love our shiplap walls but the view is even better!,29.82627834,-95.07823934,Monroe Manor
5,$35,1,Houston,Jan-17,"Clean &amp; Cozy brick home with comfortable room for a guest to rent per night, large backyard with 2 big Trees for shade.Direct TV of over 500 channels to watch. Washer/Dryer, bed sheets/pillow cases",29.70389701,-95.66395341,Comfortable Room available for you!
6,$38,1,Houston,May-16,"This spare room within a 2 bed/2 bath condo is within Houston's medical center district. It is minutes away from Hermann Park, Rice University, NRG Stadium, Houston Zoo, and of course, the medical center. The listing is a 3 minute walk from the nearest bus stop and a 15 minute walk from the nearest light rail station. \n\nCable, wifi, and toiletries included.",29.68945181,-95.39325254,"Comfy, Affordable Med Center Room"
7,$45,1,Houston,Jan-17,"YOU WILL LOVE IT. Safety, Convenience, Comfort, and Cost-Effective! One of the MOST affordable short-term medical housing.\n\nThis is an Updated all furnished 2 bedrooms and 2 bathrooms condo apartment with modern furnishings. Each private bedroom has it's own LOCK and bathroom in the bedroom suite so there is NO sharing with the other bedroom or another guest. Kitchen is furnished with all basic appliances, silverwares, cook wares, plates, bowls, glasses, etc.",29.68889861,-95.39527326,Texas Medical Center 2 BedRoom 2 BathRoom - Room 1
8,$150,2,Houston,Mar-17,"We do not rent out the entire property, only private rooms.\nRegistered guests can enjoy the outside pool area, large backyard, and pier, along with the saltwater pool and heated jacuzzi which can be enjoyed between 8 am and 10 pm. \n\nStart your day with a walk/jog in this friendly neighborhood, enjoy a game of tennis or basketball, or fill it with one or more of the area's many tourist attractions or healthy lifestyle activities.",29.53628601,-95.08669656,PRIVATE SUITE & POOLSIDE ROOM
9,$35,1,Houston,Jan-16,"Hi! Our house is tucked away at the end of a quiet cul-de-sac and is 20 minute easy drive to Houston Intercontinental Airport. We have easy access to Kingwood's great greenbelts for walking and running. We are a busy family with two kids and three wonderful dogs, but our house is your house when you stay with us! You'll have your own private bedroom (upstairs) and a full bath (downstairs). A second private bedroom with an air mattress is available for larger parties.",30.03683572,-95.22608777,Comfortable Family Home near IAH
10,$1000,2,Houston,Feb-13,"Our 2/2 townhouse is only a 9-min ride from NRG Stadium, the Medical Center, AND all of the cultural, dining, and nightlife offerings of the museum district, midtown, and downtown. Hobby Airport is a short cab ride away. Perfectly situated in a safe community it offers immediate access to the heart of H-town via 45 freeway and the 610 loop. \n\nEnjoy access to safe parking, high speed, secure WiFi, Premium Cable, W&amp;D, and separate climate control for each individual floor.",29.69799127,-95.29893196,Perfect Townhome for Super Bowl LI & Beyond
11,$63,0,Houston,Mar-15,"Sweet deal! Small, beautifully decorated efficency apt. above our detached garage on 1 acre landscaped lot. Completely private! Very quiet. Wifi, Roko tv. Queen bed, Rain Shower/bathtub. \n12 min-hobby airpot\n13 min- downtown\n20 min- galleria mall\n7 Miles to SUPER BOWL NRG STADIUM!",29.69300158,-95.26477971,Sweet Retreat!
12,$60,1,Houston,Aug-15,"The private room available is in a townhome in EaDo and is within walking distance to the new rail and bike trail for easy access to downtown, medical center, Rice University, and Midtown. Rooftop deck and gated community with public parking avail.",29.75561922,-95.34945333,"Private BR(1), Modern Townhome, in DownTown"
13,$400,2,Houston,Jan-17,Lugares de interÌ©s: Hobby airport. Te va a encantar mi espacio por Extremely relax. Mi alojamiento es bueno para aventureros y familias (con hijos).,29.69217133,-95.27834702,Houston 15 min NRG
14,$55,0,Houston,May-17,"The studio apartment is located off 1-45 in a quiet neighborhood. 10 minute drive to downtown and 15 minute drive to the NRG stadium. It's your own personal space for the days you need it. It comes with it's own TV with roku, bathroom, kitchen, refrigerator, coffee maker, oven toaster, dishes and lots of storage place.",29.72643595,-95.31921338,Apartment Near Downtown/University of Houston
15,$92,3,Houston,May-13,"Cozy Super Bowl Home Base. 3.8 miles secret straight shot to the Texas Stadium or Medical Center. 3 bedroom, 2 bath set in a peaceful but urban neighborhood (Westbury), right on the border of the 610 Loop. Kitchen is fully stocked even with a Ninja and Keurig. Enjoy the space to spread out and relax. \n\nSuper close to Bellaire, Montrose, Upper Kirby, Downtown, Sugarland and the Galleria. No freeways needed to any of these locations listed.\n\nWe do recommend a car for this location.",29.6465198,-95.48921278,Super Home Base
16,$200,3,Houston,Apr-14,"2 + bedroom, 2 bath, heated pool, hot tub, steam room, plus much more. The decor is a feast of Moroccan antique and unique pieces collected from around the globe.",29.74485117,-95.38589969,Exotic Retreat with heated private pool & jacuzzi
17,$77,0,Houston,Oct-14,"Located in the heart of Houston's Montrose neighborhood, the Harold Street Studio is perfect for singles or couples planning a short stay to this vibrant area of Houston. Close to shops, restaurants, museums and galleries, all within walking distance. Downtown Houston is within 3.5 miles, as is the Texas Medical Center.",29.74051972,-95.40024893,Harold St. Studio
18,$86,1,Houston,Oct-16,"The guest house is located on the second floor with a HUGE shared outdoor back patio ideal for relaxing readings or breakfast. The guest house has 1 queen bed, a large kitchen and a comfortable sofa bed for 2 persons. The apartment is completely furnished and has free Wifi connection.",29.75484482,-95.38913101,Charming newly renovated guest house in Montrose
19,$55,1,Houston,Jul-15,"10 mins away from Medical Centre\n10 mins away from Greenway Plaza\n15 mins away from NRG Stadium\n10 mins away from Downtown (Museum District)\n10 mins to Rice University/Rice Village\nIn West University Place neighborhood \n10 mins from Galleria\nSame area as River Oaks, Montrose, Southside and Bellaire",29.72758048,-95.44585328,Mini Suite with private entrance - Med Centre&NRG
20,$80,0,Houston,Oct-14,CLEANING FEE INCLUDED. Studio with full kitchen and private entrance with courtyard in a cozy Montrose neighborhood within walking distance to many restaurants and bars. Premium cable with WIFI included and pets OK.,29.74603384,-95.38480976,Montrose Secluded Studio #4
21,$95,1,Houston,Jun-12,The Adorable Apartment in Montrose is in a beautiful historic neighborhood with great restaurants and local bars that are within walking distance of the apartment. This is your very own garage apartment with off-street parking! Welcome Home....,29.74181448,-95.38729022,Adorable Apartment in Montrose
22,$55,1,Houston,May-15,"Nestled in the heart of Houston! 5.8 miles to NRG, 13.3 miles to Downtown, 7.4 miles to the Galleria area, 10.6 miles to the Museum District. My home is a cozy place for you to rest after an adventurous day in Houston.\n\nMy home is open to world travelers, weekend wanders, and stay-cation escapees. I have a host of suggestions and travelers advice if you need any just let me know!",29.67438932,-95.49536038,Great Houston APT Nestled in the Heart of Houston!
23,$600,2,Houston,Nov-16,"Blocks from the Metro, Minutes from Super Bowl LI activities.",29.74678384,-95.33610475,New Modern Home East of Downtown
24,$140,1,Houston,Dec-16,"Prime Downtown Moody Heights Houston Location: Elegant 1 bedroom, 1 bath w/yard. Electric gate &amp; full home security system with parking for 5. Outside patio for entertaining with hammock, stainless steel appliances, hardwood flooring, granite counter tops throughout, large walk-in closet, ten foot ceilings, Fullsize Washer &amp; Dryer. 1 mile to Downtown Houston with multiple bike trails nearby. Less than four miles from Houston's Museum District.",29.77073164,-95.37220398,Dwtn Houston-Luxury Home Business/Couples Retreat
25,$40,1,Houston,Jun-16,"Private bedroom with en-suite bathroom (private bathroom inside bedroom). Queen-size bed.\nPrefer long-term guest 5 days +. \n20% discount for long term guest more than 30 days.\nNext to Medical Center/NRG, Downtown/The Galleria.",29.68086261,-95.41870216,Master Bedroom by Medical Center/MD Anderson
26,$51,1,Houston,Jun-14,"Private access to 2 BR (Full &amp; Queen). Access to comfortable and warmly decorated family, dining and breakfast room and kitchen. Sitting area in backyard, private driveway. Satellite dish w/full movie &amp; sports pkg.",29.58231323,-95.14569045,Beautiful Suburban Two Story Home
27,$90,1,Houston,Jan-17,"My place is close to nightlife, the city center, NRG Stadium, gayborhood, family-friendly activities, grocery store, shopping center, public transportation, midtown and restaurants that are open late. You‰Ûªll love my place because of the location, decor, and amenities. Located in one of Houston's most happening neighborhoods, it's wholly accessible to NRG stadium. Additionally, I've never waited for more than a couple of minutes for an Uber to arrive and whisk me away to my destination.",29.73405552,-95.40029763,"Charming 1 Bedroom, 1 Bath Apt."
28,$73,2,Houston,Jun-17,"The spacious rooms lead to the charming gardens of the mountain view. The modern living room of artist vogue. Suitable for reunion and wedding guests. Include breakfast, share the bathroom. The lower level of an unusual contemporary family. Go straight into a beautiful garden and terrace and enjoy a magnificent view.",29.69235827,-95.24885425,full of surprises
29,$80,1,Houston,Apr-13,"We live in a 1920's character home in EaDo (East Downtown) Houston. We love the proximity of our home to downtown -- short walk or Uber ride to Minute Maid Park, the Metro Rail, Dynamo Stadium and the convention center. East Downtown is an amazing neighborhood with new Houston hotspots opening every week!",29.75416294,-95.34542872,Private Room+Bath - Walk everywhere
30,$73,1,Houston,Jun-15,"Great Condo in Galleria!! Convenient, Central Location Filled With Trendy Shops, Restaurants, and Entertainment. \n\nMinutes from Downtown and Medical Center.\nLocated next to 610 Loop and intersection of major freeways such as I-10 and Hwy 59.\n\nNext-door to, \",29.7532561,-95.45866314,Old-World Charm in Modern Galleria Area!
31,$69,0,Houston,Mar-16,"My place is close to \t\nWilliam P. Hobby\n18 min\t9.5 mi\nHouston George Bush Intercontinental\n31 min\t23.5 mi\nParks and Recreation\tDrive\tDistance\nDiscovery Green\n9 min\t2.8 mi\nChildren's Museum of Houston\n10 min\t5.4 mi\nHouston Museum of Natural Science\n12 min\t5.6 mi\nCockrell Butterfly Center\n13 min\t6.0 mi\nHermann Park\n12 min\t6.7 mi\nColleges\tDrive\tDistance\nUniversity of Houston\n8 min\t2.3 mi\n\nUniversity of Houston, Downtown\n11 min\t3.4 mi.",29.73771842,-95.32861856,East Downtown Modern Cabin
32,$75,1,Houston,May-17,"Gated community located only minutes away from NRG Stadium. Easy access to the 610 loop connecting you to a number of restaurants, bars and shopping centers.",29.67183631,-95.42347628,Blocks from NRG/610 loop/pvt suite w/balcony
33,$100,1,Houston,Dec-16,"Our comfortable tiny house (500sqft) has a full kitchen and restroom with a king-sized bed in a loft. We're within walking distance to downtown and Washington Avenue and a cheap Uber ride away from the Heights, Montrose, and sports venues. Our tiny house is in the Historic Sixth Ward, and a block away from the biking, walking, and running trails of the Buffalo Bayou. We have plenty of parking and welcome pets. \nCheck us out on Instagram: \n#6thWardTinyHouse",,,Cozy Tiny House in Downtown Houston
34,$130,2,Houston,Nov-12,"This pet-friendly space with kitchenette is perfect for a couple, a small family or group of friends to use as the home base for a visit to Houston. Located on a tree-lined street in the historic Houston Heights district, the apartment has a small-town feel close to downtown.",29.7981699,-95.4012972,Charming 2BR apartment in Historic Heights
35,$64,1,Houston,Jul-14,"Great room to stay in for business travelers or anyone on holiday or vacation. Centrally located in the Montrose district near downtown for business, but even closer to dozens of restaurants and the vibrant Houston nightlife.",29.74622426,-95.39220643,"Clean, comfortable, & classy condo"
36,$2700,5,Houston,Jan-17,Our comfortable 5 bedroom /game room/theater room 3 1/2 bath is located only 15min from NRG and 10 min form downtown Houston with all festivities we have 4 local grocery stores less than 2mins away as well as a shopping strip we are conveniently located on beltway 8 and the 610 loop as well as interstate 10 mins away from all festivities in Houston,29.8234493,-95.18304999,SUPERBOWL 2017 brand new home
37,$250,3,Houston,Jun-16,"Our home is located inside a safe gated community. Make our renovated 3 bedroom 2 bath townhome your home for your next visit to Houston! We have enough room to easily fit 10 but can accommodate 13 if needed. House is fully updated with luxury finishes. It's minutes away from the NRG Stadium, Museum District, Downtown Houston, parks, zoo, medical center and University of Houston.\n\nThis location has multiple restaurants and shopping centers at a great walking distance, only a block away.",29.70332322,-95.29328932,TOWNHOME Near NRG Stadium and downtown 10+ GUEST.
38,$42,1,Houston,Mar-16,"Upstairs bedroom and private full-size bathroom with in room mini-fridge, coffee maker, 43\",29.58017374,-95.13687659,Queen Bed With Private Bath in Quiet Neighborhood
39,$35,1,Houston,Jun-15,"Awesome interior design home. All freeways 3 minutes. This is great if you want to be close to downtown and all the restaurants, college night life to. The home is clean and quiet for working individuals. We keep the house clean. Location is great. We have central air and heat. Wireless Internet . Everyone has a private room . We don't slam doors and quiet after 10pm so others can rest. Dishes, wash and put them away or dishwasher. Shoes off at the door. Always sponge wipe kitchen counter.",29.75521217,-95.38133653,Front Cozy Midtown Room
40,$300,4,Houston,Jul-15,"Spacious 3500 sq ft two story home on a 13,000 sq ft lot with private swimming pool and spa. Perfect home setting for being away from home. Large living room with fireplace, kitchen with breakfast table area, formal dining room, study room with desk, 4 up-stairs bedrooms with large walk-in closet space for suitcases and clothes, two large double-sink-double-vanity bathrooms with tub and shower, up-stair game room/sitting area and personal gym. Incredible value compared to hotels.\n\nThe Kitchen\n\nFully stocked kitchen with microwave, oven, gas range, all pots, pans, utensils, mugs, cups, wine glasses, openers, tea kettle, coffee maker, coffee, tea, baking sheets....this kitchen has everything you need to prepare big meals at home, and of course an outdoor grill.\n\nOutdoor/Yard Space\n\nLarge fully fenced yard with swimming pool and spa. Upstairs and downstairs shaded backyard patios with outdoor furniture on both levels.\n\nAir B&amp;B will unlock or reveal our exact address after your booking is finalized or closer to your stay ‰ÛÒ it is kept private for security purposes prior to that.\n\nYou'll have the whole home, yard and pool to yourself, with wireless internet and gas barbecue grill.\n\nPlease provide us with a general time of your arrival ‰ÛÒ check-in is after 4 PM unless other arrangements are made.\n\nWe meet with the guest upon check-in and for any needed assistance during your stay.\n\nWalk-through of home with guests is done only after reservation is confirmed and on the day of check-in and on check-out. Guest who confirmed reservation must be present.\n\nLocated just off I-10E and Beltway 8 North (Sam Houston Parkway) The New Forest subdivision is surrounded with restaurants, education opportunities, entertainment venues, shopping and more. \nSeveral bars, restaurants, and coffee shops are less than 5 minutes walking/driving away. A detailed listing will be provided to you upon check-in.\n\nGuests will need to provide for their own transportation as there is no public transit in this area.\n\nOther places to go in Houston:\n\nWhether its business or entertainment, Houston has everything you need to stay busy or just relax. The distance of the home to key spots are as follows:\nDowntown Houston-17.1 miles\nToyota Center-17.9 miles\nDiscovery Green Park-16.3 miles \nGeorge R. Brown Convention Center-16.1 miles \nMinute Maid Park-15.9 miles\nBBVA Compass Stadium-16 miles\nDowntown Aquarium-17.2 miles\nMuseum District-19.1 miles\nHouston Zoo-20.4 miles\nMedical Center Area-21.8 miles \nHouston Galleria-25.4 miles\nReliant Stadium-23.9 miles\nHobby Airport (HOU)-19.1 miles\nHouston Intercontinental (IAH) Airport-20.2 miles \nGalveston-53.8 miles\nSpace Center Houston-26.9 miles\nKemah Broadwalk-25.7 miles\n\nStarting April 27, 2017 to May 5, 2017 a 10% discount will be offered.",29.81022873,-95.16967031,Plantation Glen Park Dr. Oasis
41,$1600,3,Houston,Jan-17,"3 Bed 1 Bath home, great location for Super Bowl 2017. 6 miles from the Downtown Houston, &amp; 10 miles away from the NRG stadium. Wifi included and pets welcomed.",29.81082365,-95.28567328,YOUR SPACIOUS STAY FOR SUPER BOWL 51
42,$90,0,Houston,Jul-15,"This light and spacious midcentury building has been remodeled into a contemporary live/work space close to downtown, the medical center, the museum district and light rail. Third Ward is an historic neighborhood in transition.",29.73053131,-95.36952978,Hip Midcentury Studio in Third Ward
43,$45,1,Houston,Sep-15,"Cozy one bedroom ensuite with attached bathroom. Laundry room and kitchen available. Perfect location for US MLES students. Super comfortable memory foam bed. Quick access to I-45, Hardy Toll Road and The Woodlands. 10 minutes to Bush IAH.",29.98790215,-95.40261181,Hotel Quality Ensuite Near IAH
44,$50,1,Houston,Aug-15,"Nestled in the shadows of downtown Houston, our cozy home is just a 10-15 minute drive from all the action. Only 4.4 miles from Houston Hobby Airport, we're easy access, and located just off the freeway in an older, family-friendly neighborhood. Our home is simple, with modest accommodations in a quiet neighborhood, and conveniently located to all Houston has to offer.",29.68104725,-95.2371554,Eclectic Home with Comfy Room
45,$50,1,Houston,Jan-16,"6 MONTHS minimum stay!\nHeart of Galleria, Highland Village &amp; River Oaks.\nWalk to fantastics restaurants &amp; Lux shops.\nPrivate complex w/guarded entry.\nFurnished 780sf apt. w/back balcony &amp; large front terrace w/pool view.\nCovered parking.\nNo pets or smokers allowed",29.74811321,-95.4487467,6 Months Min. Stay River Oaks Apartments.
46,$60,1,Houston,Mar-14,"Our conveniently located 3 story town home provides easy access to downtown Houston, the Medical Center, and NRG stadium. We are located right off a major freeway (no noise though!) and just a 45 minute drive to Galveston. You will have the first floor to yourself with a bedroom and attached bathroom. The living room and kitchen are located on the middle floor. We enjoy cooking and entertaining so our kitchen is fully stocked with any utensils you could need.",29.69816711,-95.37804133,Modern Private Room & Bath Near Med Center & NRG
47,$40,1,Houston,May-16,"My place is close to Medical Center. You‰Ûªll love my place because of It's quiet, safe and clean . My place is good for couples, solo adventurers, and business travelers.",29.70354756,-95.43672085,Home from home
48,$50,1,Houston,Jan-16,"My home consists of one side of a duplex in Houston, Texas. It is conveniently located in the east end, just three miles from downtown, and only one mile from the Houston rail station.",29.72985413,-95.32380765,Quaint garden cottage in Houston
49,$99,2,Houston,Sep-16,"My place is good for seniors, couples, business travelers, families (with kiBeds),\nWalking distance to the Romantic Lake of Houston \nBay, Wine testing and restaurants",30.03661788,-95.17443118,Cozy 2BR+2PA+Spacious living room
50,$300,1,Houston,Jan-17,"My place is close to \nWe are a professional couple , who wanted to make it easy and convenient for visitors to enjoy themselves in the Houston City during the 2017 Super bowl with an awesome location! Offers public transport,(bus stop) and right next to the mall, and delicious catering upon request for additional cost. . My place is good for couples, solo adventurers, and business travelers.",29.72933109,-95.64955181,"1 bedroom apartment, clean and convenient"
51,$100,1,Houston,Jan-17,"Waterfront home with a beautiful room and private bathroom on ground floor of home. Home adjacent to bird sanctuary and park. Minutes away from NASA and Space Center Houston, Kemah Boardwalk and within 30 minutes drive from Downtown Houston, NRG Stadium Complex and Galveston Island. Room accommodates 1 - 2 people. Coffee and tea provided in the morning.",29.53697472,-95.0851601,Room On The Water
52,$240,3,Houston,Jan-17,"Cozy spacious 3 bedroom home. Master Bed has King Size Bed, with private bath. 2nd room with Futon and 3rd room with Queen Bed. Den AND living room. Patio with counter top. Grill in backyard. Washer and Dryer available.",29.81174059,-95.18728232,Comfortable 3 Bedroom Home!
53,$51,1,Houston,Nov-15,"Very nice private room located in a charming Heights bungalow.\nBright and quiet facing the backyard.\nEn-suite bath with private access (from the side of the house). Room is connected to the main house; door is kept locked and you have your own key.\nFew blocks from White Oak with many restaurants and bars.\nA designer bed, antique bath!\nFree wifi.\nHost is available to answer questions on phone, and when home.\nFlexible check-in time.\nPlease note this is hotel like (microwave, tea and coffee).",29.77841683,-95.39310038,"private room, en-suite in quaint Heights bungalow"
54,$90,1,Houston,Oct-14,"Private Guest Apartment located in the heart of Montrose. Quiet accommodation for singles or couples w/full kitchen. Walking distance to Menil Foundation, St. Thomas U., Westheimer shops and restaurants. 3.5 miles to Downtown and Medical Center.",29.7403401,-95.40040988,Harold St. Treehouse
55,$65,1,Houston,Sep-16,"One bedroom apartment , close to galleria , Rice university and NRG stadium , parking on the street, small kitchen, pool, nice neighborhood and close to clubs and restaurants",29.72664149,-95.41992229,Small complex close to NRG stadium
56,$130,2,Houston,Aug-15,"Peden House is a beautiful fully equiped home in the heart of Montrose near Downtown, Medical Center and the Museum District. It is only 5 years old, spacious and with high ceilings. It is within walking distance of great restaurants and Parks.",29.75363112,-95.39079165,Peden House
57,$64,1,Houston,Aug-13,"A 100 year old mix-use building with lots of charm &amp; beautiful new furniture. Central A/C! Ideal for 2 people maximum. It's just outside Downtown, 5 min to the Heights, 10 min to Montrose, &amp; less than 15 min to the Galleria &amp; the Medical Center. Close to the MetroRail. You will often see artists, photographers, &amp; creative-folk as there is also a mix-use studio space within the building where photo-shoots, art gallery openings, and pop up shops are often held. Perfect for the artistic traveler.",29.77330589,-95.35541949,Incredible TRUE ART LOFT near Downtown
58,$275,3,Houston,Apr-16,"3 story 3 Bedroom 3.5 bath private Midtown Town Home built in 2016\n\n- 10 mi (5 miles) from NRG Stadium\n- Less than a mile walking distance to Houston's premier nightlife (Cle, Axelrad, Proof, House of Blues, etc.)\n- 12-foot ceilings\n- Swash Dry Cleaning appliance with 10 pods, 75 inch 4K Samsung TV, Bose Speakers, Whirlpool washer/dryer)\n- Balcony medium size\n- On-demand, Netflix, Amazonprime movies, HD DVD",29.74596965,-95.37063915,Modern Luxury Midtown Home in PRIME LOCATION
59,$19,1,Houston,Aug-15,"This is a bunk bed in a shared room. It's a hostel environment, with an average of 4 people, but a maximum of 6. Perfect for medical students or people visiting Rice University, the medical center, or NRG stadium.",29.67901668,-95.41748298,Bunk 3 @ med center and NRG stadium
60,$600,2,Houston,Sep-14,"Beautifully designed 2 bedroom, 2 bathroom home that has loads of natural light, and open concept and is amazing for hosting. It's in a chill neighborhood that is close to most things in Houston and has easy access to public transport. Will be available for the week of the Super Bowl!!",29.73036322,-95.32606682,Space and Style in the East End
61,$80,0,Houston,Oct-14,"CLEANING FEE INCLUDED. Studio with full kitchen and private entrance with courtyard in a cozy Montrose neighborhood within walking distance to many restaurants and bars. Very close to downtown, Galleria and Medical Center. Premium cable with WIFI included and pets OK.",29.74605575,-95.38437703,Montrose Secluded Studio #3
62,$28,1,Houston,Jun-16,"My place is close to Business: Energy Corridor\nMedical: Texas Children Hospital, Methodist, Memorial Herman and St. Christus Hospital\nDining: Fine and Relaxed Dining \nShopping: Memorial and Katy Mills Malls\nand lots more ....... You‰Ûªll love my place because of the comfy bed, the high ceilings, the coziness, near the city center . My place is good for couples, solo adventurers, business travelers, and families (with kids).",29.81139307,-95.71434791,Private Cozy Room Near The City Center
63,$79,1,Houston,Aug-13,"The 3 LEVEL LOFT APARTMENT, a DRAMATIC, UNIQUE, CHARMING alternative to a hotel. The LOFT is outfitted w/ tastefully furnishings, &amp; artists' works on walls. Court yard garden entry. PLEASE NOTE: BASE RATE is for a SINGLE GUEST! ---READ HOUSE RULES---",29.80172737,-95.39005052,a DRAMATIC 3 level LOFT APARTMENT
64,$650,4,Houston,Aug-13,4BD 2 1/2 BATH Home with backyard for Super Bowl week.,29.58393606,-95.13807558,4 Bedroom Home for Super Bowl
65,$49,1,Houston,Sep-15,"My place is close to public transport, downtown, Hobby Airport, art and culture, and parks. You‰Ûªll love my place because of the outdoors space, the light, and the comfy bed. My place is good for couples, solo adventurers, and business travelers.",29.75152763,-95.33785654,2nd Great Room in East Downtown
66,$125,2,Houston,Feb-17,"A very modern two bedrooms house in the Galleria area. Two story high ceiling in the den. Contemporarily furnished, and includes an HD TV with a surround sound system, WiFi, full kitchen, laundry machines, swimming pool, and a great sized private and fenced backyard patio and deck. The house is located 5 minutes away from The Galleria. Tanglewood Park, HEB groceries, the YMCA, and the local library are all within walking distance. Tons of restaurants and shopping in the bustling Galleria area.",29.74421227,-95.47937092,1750SF house in Galleria
67,$40,1,Houston,Mar-13,"The Heights has some of the best restaurants and bars in Houston. Right off 610N loop. 10 min to downtown, Washington Avenue and The Galleria. 20 min to Texas Medical Center. \n\nSPACIOUS/PRIVATE BEDROOM\nFirst floor all to yourself. Room has a door to side yard if you bring a furry friend along. Includes Apple TV with Free Netflix and HBOGo. You also have full access to our kitchen, living room and laundry. \n\nPET-FRIENDLY\nNo extra charge! And we think they will love the side-yard!",29.80815598,-95.41532948,Pet-Friendly Private Floor in Heights w/Side Yard
68,$69,1,Houston,Jan-17,"You'll be living in a newly built home in the wonderful Montrose area. It's in a relatively quiet neighborhood away from the busiest streets, but still very close to parks, restaurants and major employment areas. Less than .5 mi to many restaurants and bars as well as Whole Food grocery store. Just a couple of minutes walk to public transportation serving the Texas Medical Center, Rice University, Downtown, Uptown/Galleria and Upper Kirby.",29.75496094,-95.3957613,Bedroom w. private bath in modern Montrose home
69,$86,1,Houston,Jun-16,"Whether you are in town for work or fun, this place is perfect for couples, solo adventurers, business travelers, and small families (with kids). You will be within walking distance of some great food, bars, stadiums and live music. The building is safe and secure and has gated/covered parking (2 spots available). The condo itself offers the necessities (jacuzzi bathtub, wifi, laundry, local TV, Netflix, Apple TV), with furnishings that will be comfortable for long or short stays.",29.75145606,-95.35389787,Eado Condo Close to Everything
70,$80,1,Houston,Oct-12,"Great for long term stays! Comfortable cozy loft like living in river oaks/greenway/galleria area. Spacious well appointed apartment, inside the loop and close to all the best dining/shopping/socializing areas of Houston! Make this your home away from home while on business in Houston.",29.73628025,-95.43984176,Spacious Entire apartment in Greenway/Galleria!
